Planta:;20
Fecha:;Energía Exportada (kWh);Energía Importada (kWh);E
20160327000000;0;0;W
20160326230000;0;0;W
20160326220000;0;0;W
20160326210000;0;0;W
20160326200000;0;0;W
20160326190000;6;0;W
20160326180000;16;0;W
20160326170000;23;0;W
20160326160000;28;0;W
20160326150000;26;0;W
20160326140000;26;0;W
20160326130000;24;0;W
20160326120000;29;0;W
20160326110000;21;0;W
20160326100000;14;0;W
20160326090000;7;0;W
20160326080000;0;1;W
20160326070000;0;0;W
20160326060000;0;0;W
20160326050000;0;0;W
20160326040000;0;0;W
20160326030000;0;0;W
20160326020000;0;0;W
20160326010000;0;0;W
