Planta:;20
Fecha:;Energía Exportada (kWh);Energía Importada (kWh);E
20161030010000;1;3;S
20161030020000;2;3;S
20161030020000;3;3;W
20161030030000;4;3;W
20161030040000;5;2;W
20161030050000;6;3;W
20161030060000;7;3;W
20161030070000;8;3;W
20161030080000;9;3;W
20161030090000;10;1;W
20161030100000;11;0;W
20161030110000;12;0;W
20161030120000;13;0;W
20161030130000;14;0;W
20161030140000;15;0;W
20161030150000;16;0;W
20161030160000;17;0;W
20161030170000;18;0;W
20161030180000;19;0;W
20161030190000;20;0;W
20161030200000;21;3;W
20161030210000;22;7;W
20161030220000;23;7;W
20161030230000;24;7;W
20161031000000;25;5;W
